Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Sugar Cane,Hybrid,"A convenient hybrid cartridge carrying Sugar Cane's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, with notes of flowery, grape, and berry, delivering an even, best-of-both-worlds feel.",,,,,,,
sugar cone,Hybrid,"This hybrid rosin is the connoisseur's clean dab: Sugar Cone coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. Expect with notes of cheese, diesel, and pepper, a rich terpene punch, and a balanced head-and-body experience.",,,,,,,
Sugar Cookies,Hybrid,"A convenient hybrid cartridge carrying Sugar Cookies's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, with notes of vanilla, butter, and plum, delivering a versatile, anytime balance.",,,,,,,
Sugar Fiend,Hybrid,"A hybrid pre-roll of Sugar Fiend supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Sugar Free Dragon Fruit Lemonade,,,,,,,,,
Sugar Free Pineapple Lemonade,,,,,,,,,
Sugar Free Raspberry Lemonade,Hybrid,"A chef-inspired sweet-tart lemonade cannabis drink made for sipping cold, with bright flavor, a clean finish, and a smooth infused lift. A refreshing hybrid option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Sugar Man,,,,,,,,,
Sugar Rainbow Luxe,Hybrid,"Sugar Rainbow Luxe is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Summer Peach,,,,,,,,,
Sundae Driver,,,,,,,,,
Sundae Ecstacy,Hybrid,"This hybrid rosin is the connoisseur's clean dab: Sundae Ecstacy coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. Expect a balanced, sweet-earthy profile, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
Sundae school,,,,,,,,,
Sunset Haze,,,,,,,,,
Sunset Lemonade,Hybrid,"A hybrid infused joint built on Sunset Lemonade and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a sweet-tart lemonade flavor, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Sunset MAC,Hybrid,"Sunset MAC is a hybrid flower with notes of chestnut, citrus, and grapefruit, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sunset Runtz,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Sunset Shebert,Hybrid,"Connoisseur-grade hybrid hash rosin, where Sunset Shebert's trichomes are washed into hash and pressed into a creamy, full-spectrum concentrate bursting with flavor. Smooth, potent, and terp-heavy — a balanced, sweet-earthy profile, leading into a balanced head-and-body experience.",,,,,,,
Sunset Sherbert,Hybrid,"A hybrid vape cartridge filled with Sunset Sherbert oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Flavor on the go, with notes of citrus, sweet, and tropical, leading into a versatile, anytime balance.",,,,,,,
Sunset Strip,,,,,,,,,
Sunset Zkittlez,Hybrid,"A hybrid pre-roll of Sunset Zkittlez supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a sweet candy-fruit aroma with a calm, happy, relaxed feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Super Boof,Hybrid,"Super Boof is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Super Bubble,Hybrid,"This hybrid disposable carries Super Bubble in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Zero setup, all flavor — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
super fuzzy,Hybrid,"Portable hybrid vape cart of Super Fuzzy, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Smooth, discreet, and flavorful — a balanced, sweet-earthy profile, with a balanced head-and-body experience.",,,,,,,
Super Lemon Haze,Sativa,"Super Lemon Haze is a sativa flower with notes of lemon, citrus, and lime, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Super Mac,Hybrid,"Super Mac is a hybrid flower with a sweet, citrus-earthy, creamy aroma with a balanced, euphoric feel.",,,,,,,
Super Runtz,Hybrid,"An all-in-one hybrid disposable vape preloaded with Super Runtz oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Simple, smooth, portable, with notes of apricot, pear, and flowery, leading into a smooth, well-rounded vibe.",,,,,,,
Super Silver Haze,Sativa,"Super Silver Haze is a sativa pre-roll with notes of citrus, skunk, and earthy, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Super Silver Haze & Bruce Banner,Hybrid,"A hybrid infused joint built on Super Silver Haze & Bruce Banner and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — a sweet, spicy-citrus aroma with a bright, energetic, cerebral feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Super Silver Stardawg,Sativa,"Super Silver Stardawg is a sativa flower with a bright, citrusy, and fresh aroma and uplifting, energizing head buzz.",,,,,,,
Super Zulu,Hybrid,"Super Zulu is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Superboof,Hybrid,"Superboof is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Supreme Papaya,Hybrid,"Craft hybrid rosin made the clean way: Supreme Papaya squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. A premium solventless experience, a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel.",,,,,,,
Swampwater Fumez,Hybrid,"Swampwater Fumez is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sweet Cherries,Hybrid,"A hybrid infused joint built on Sweet Cherries and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Sweet Cream x Super Silver Haze,,,,,,,,,
Sweet Island Skunk,Sativa,"This sativa cartridge loads Sweet Island Skunk into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, a pungent, classic skunk flavor, leading into a bright, heady lift.",,,,,,,
Sweet Potato Chips,Hybrid,"A hybrid pre-roll of Sweet Potato Chips supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Sweet Watermelon,,,,,,,,,
Sweet Watermelon Fizz 2:1,,,,,,,,,
Swift Cheese,Hybrid,"A convenient hybrid cartridge carrying Swift Cheese's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, a funky, savory cheese flavor, delivering a balanced head-and-body experience.",,,,,,,
Swirly Temple,Hybrid,"A convenient hybrid cartridge carrying Swirly Temple's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, a balanced, sweet-earthy profile, leading into a versatile, anytime balance.",,,,,,,
Swiss Mints,Hybrid,"This hybrid disposable carries Swiss Mints in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, a cool, refreshing mint flavor, delivering a smooth, well-rounded vibe.",,,,,,,
Swiss Watch,,,,,,,,,
Taco Truck,Hybrid,"Taco Truck is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Tahiti Lime,,,,,,,,,
Tahoe OG,Hybrid,"Full-melt hybrid bubble hash from Tahoe OG, washed in ice water and sifted into glittering trichome heads — the clean foundation behind great hash rosin. Clean, washed, and potent, with notes of pine, earthy, and woody, delivering a versatile, anytime balance.",,,,,,,
tai styx turnpike,,,,,,,,,
Tally Mon,Hybrid,"Tally Mon is a hybrid pre-roll with notes of ammonia, tropical, and nutty, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Tamalez,Hybrid,"A hybrid infused blunt built around Tamalez and enhanced with extract, blended in for a smooth, even burn and an elevated experience. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Tangelo,Hybrid,"A chef-inspired chef-inspired edible with dessert-counter personality, smooth sweetness, and a carefully blended cannabis infusion. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Tangerine,Hybrid,"A refined infused mint made for fresh flavor and low-key convenience, with a confectionery finish that feels more boutique than basic. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Tangerine Borealis #1,Hybrid,"Tangerine Borealis #1 is a hybrid pre-roll with a sweet, juicy citrus flavor and balanced, well-rounded effects.",,,,,,,
Tangie,Sativa,"This sativa live resin captures Tangie at its living peak — frozen at cut, extracted cold, and bottled with its full, layered terpene profile intact. Bright, layered, and strain-expressive, with notes of orange, citrus, and apricot, leading into an upbeat, talkative energy.",,,,,,,
tangie cake,Hybrid,"A hybrid vape cartridge filled with Tangie Cake oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — a zesty orange citrus flavor, with a smooth, well-rounded vibe.",,,,,,,
Tangie Hook,Sativa,"A sativa vape cartridge filled with Tangie Hook oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — a zesty orange citrus flavor, with an upbeat, talkative energy.",,,,,,,
Tart Pops,,,,,,,,,
Tati's Tea & Strawnana,,,,,,,,,
Tea Time,Hybrid,"A hybrid pre-roll of Tea Time supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of blue cheese, cheese, and blueberry, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Tear Gas,Hybrid,"Tear Gas is a hybrid flower with notes of skunk and earthy, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Texas Toazt,Hybrid,"Premium hybrid live resin extracted from Texas Toazt that was flash-frozen fresh at harvest, locking in the volatile terpenes most concentrates lose to drying and curing. Bright, layered, and strain-expressive, a balanced, sweet-earthy profile, leading into a smooth, well-rounded vibe.",,,,,,,
THC Bomb,Hybrid,"This infused hybrid pre-roll wraps THC Bomb flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of citrus, earthy, and pine, with a versatile, anytime balance. A little goes a long way.",,,,,,,
THC:THCV pamplemousse,,,,,,,,,
THCA,Hybrid,"This THCA THCa is about as pure and potent as concentrates get — crystalline cannabinoid that comes alive with heat for a powerful, clean hit. Ultra-pure and strong, a balanced, sweet-earthy profile, leading into an even, best-of-both-worlds feel.",,,,,,,
